State,Campaign name,Status,Type,Targeting,Campaign start date,Campaign end date,Campaign budget amount (converted),Campaign budget amount,Top-of-search impression share,Top-of-search bid adjustment,Clicks,CTR,Total cost (converted),Total cost,CPC (converted),CPC,Purchases,Sales (converted),Sales,ACOS,ROAS
ENABLED,DG | VCPM,ADVERTISER_PAYMENT_FAILURE,SD,MANUAL,14/01/2026,,₹50.00,₹50.00,0,0,0,0,₹32.91,₹32.91,₹0.00,₹0.00,1,₹760.95,₹760.95,0.0433,23.119734673738144
ENABLED,DG_G_SPM Millet Milk 1L GKW Exact,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,25/04/2024,,₹50.00,₹50.00,<5%,0.50,22,0.0681,₹175.45,₹175.45,₹7.97,₹7.97,8,"₹3,990.43","₹3,990.43",0.0440,22.743972641778285
ENABLED,DG_G_MP_SPT 1.2KG Rolled Oats Product,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,21/03/2024,,₹50.00,₹50.00,<5%,0.40,24,0.0202,₹200.88,₹200.88,₹8.37,₹8.37,12,"₹3,612.37","₹3,612.37",0.0556,17.98272600557547
ENABLED,DG_G_SPT 2KG White Quinoa Product,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,21/02/2024,,₹50.00,₹50.00,<5%,0.35,18,0.0425,₹497.57,₹497.57,₹27.64,₹27.64,3,"₹6,540.97","₹6,540.97",0.0761,13.145828727616216
ENABLED,DG_G_SB Millet Milk 1L GKW Phrase/Exact,ADVERTISER_PAYMENT_FAILURE,SB2,MANUAL,15/04/2023,,₹50.00,₹50.00,<5%,0,5,0.0065,₹41.68,₹41.68,₹8.34,₹8.34,1,₹536.19,₹536.19,0.0777,12.864443378119004
ENABLED,DG_G_SB White Quinoa(VCPM) GKW Phrase/Exact,ADVERTISER_PAYMENT_FAILURE,SB2,MANUAL,20/08/2024,,₹50.00,₹50.00,30.91%,0,60,0.0685,₹391.00,₹391.00,₹6.52,₹6.52,15,"₹4,659.03","₹4,659.03",0.0839,11.915694510567727
ENABLED,DG_G_MK_WHITE_QUINOA_SEEDS,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,11/10/2025,,₹50.00,₹50.00,<5%,0.10,19,0.0064,₹297.28,₹297.28,₹15.65,₹15.65,12,"₹3,084.74","₹3,084.74",0.0964,10.376547362755652
ENABLED,DG_G_SPT Black Chia Seeds 500G Product,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,18/04/2023,,₹50.00,₹50.00,<5%,0.30,13,0.0336,₹224.59,₹224.59,₹17.28,₹17.28,8,"₹2,292.38","₹2,292.38",0.0980,10.206954895587515
ENABLED,DG_G_SPT Steel Cut Oats 2KG Product,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,19/06/2024,,₹50.00,₹50.00,<5%,0.45,9,0.0204,₹84.66,₹84.66,₹9.41,₹9.41,1,₹427.62,₹427.62,0.1980,5.051027639971651
ENABLED,DG_G_SPT Sunflower Seeds Self,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,15/07/2024,,₹50.00,₹50.00,27.63%,0.30,6,0.0377,₹60.23,₹60.23,₹10.04,₹10.04,2,₹273.33,₹273.33,0.2204,4.538103934916155
